epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.0464,0.71628,0.8046,1,0.50543,0.00025,0.00025,0.07525
2,28.9112,0.43437,0.89655,1,0.23471,0.000504951,0.000504951,0.049505
3,41.9064,0.24595,0.96552,1,0.14267,0.000754754,0.000754754,0.0237548
4,55.3117,0.14371,0.96552,1,0.10219,0.0009703,0.0009703,0.0009703
5,68.0764,0.12647,0.97701,1,0.05528,0.0009604,0.0009604,0.0009604
6,80.2717,0.11539,0.97701,1,0.06074,0.0009505,0.0009505,0.0009505
7,92.5544,0.07524,0.98851,1,0.03559,0.0009406,0.0009406,0.0009406
8,103.849,0.06731,0.99425,1,0.03464,0.0009307,0.0009307,0.0009307
9,115.838,0.05786,0.98851,1,0.03846,0.0009208,0.0009208,0.0009208
10,127.99,0.05233,0.99425,1,0.03012,0.0009109,0.0009109,0.0009109
11,141.26,0.05253,0.99425,1,0.01999,0.000901,0.000901,0.000901
12,153.692,0.03672,0.99425,1,0.02745,0.0008911,0.0008911,0.0008911
13,165.331,0.05169,0.98276,1,0.0372,0.0008812,0.0008812,0.0008812
14,178.362,0.04833,1,1,0.01481,0.0008713,0.0008713,0.0008713
15,191.437,0.03719,0.99425,1,0.02675,0.0008614,0.0008614,0.0008614
16,202.651,0.03713,0.99425,1,0.02218,0.0008515,0.0008515,0.0008515
