epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.5974,0.61959,0.85632,1,0.38672,0.000324786,0.000324786,0.0678462
2,31.3878,0.30685,0.97126,1,0.14246,0.000651604,0.000651604,0.0348396
3,45.0404,0.1897,0.97701,1,0.10242,0.000971822,0.000971822,0.00182652
4,57.7403,0.12489,1,1,0.041,0.0009703,0.0009703,0.0009703
5,69.7365,0.07346,0.98851,1,0.03419,0.0009604,0.0009604,0.0009604
6,83.0344,0.06636,0.99425,1,0.02643,0.0009505,0.0009505,0.0009505
7,96.4322,0.05202,1,1,0.01819,0.0009406,0.0009406,0.0009406
8,108.997,0.03467,0.99425,1,0.01814,0.0009307,0.0009307,0.0009307
9,121.461,0.03728,1,1,0.01291,0.0009208,0.0009208,0.0009208
10,134.169,0.03457,0.99425,1,0.01483,0.0009109,0.0009109,0.0009109
11,147.498,0.04902,0.98851,1,0.02201,0.000901,0.000901,0.000901
12,160.186,0.04657,0.99425,1,0.01686,0.0008911,0.0008911,0.0008911
13,172.796,0.0344,0.98851,1,0.03121,0.0008812,0.0008812,0.0008812
14,185.691,0.04091,0.99425,1,0.013,0.0008713,0.0008713,0.0008713
