art_type,damage_type,damage_percent,restoration_cost
acrylic,scratch,16,239
acrylic,fade,49,639
acrylic,crack,10,226
watercolor,fade,38,389
watercolor,crack,46,411
oil,crack,22,335
acrylic,crack,25,294
acrylic,crack,37,575
watercolor,scratch,19,314
watercolor,blur,21,301
oil,blur,13,245
oil,fade,44,409
acrylic,blur,21,293
acrylic,scratch,28,324
oil,fade,36,318
acrylic,blur,11,155
watercolor,blur,38,569
watercolor,blur,42,637
acrylic,scratch,37,509
acrylic,fade,6,117
watercolor,blur,24,380
watercolor,scratch,46,449
acrylic,crack,33,558
watercolor,fade,18,253
acrylic,fade,31,324
oil,blur,31,336
watercolor,crack,44,593
watercolor,crack,32,369
watercolor,fade,9,134
acrylic,blur,49,527
acrylic,blur,29,389
watercolor,blur,14,244
watercolor,fade,14,281
oil,crack,25,345
watercolor,scratch,33,416
watercolor,fade,12,151
oil,crack,37,537
acrylic,scratch,11,164
acrylic,blur,16,266
acrylic,crack,24,363
oil,fade,11,188
acrylic,scratch,42,630
watercolor,scratch,16,159
acrylic,blur,26,331
oil,crack,16,166
oil,crack,27,446
oil,scratch,34,469
watercolor,crack,16,306
watercolor,blur,31,446
watercolor,crack,34,355
watercolor,crack,36,451
watercolor,fade,29,461
oil,scratch,29,469
watercolor,scratch,9,191
acrylic,crack,50,785
oil,blur,10,208
watercolor,blur,50,775
watercolor,scratch,39,573
watercolor,blur,29,410
oil,fade,31,328
acrylic,crack,10,182
watercolor,crack,35,364
acrylic,blur,8,140
oil,scratch,15,235
acrylic,fade,32,343
oil,blur,20,268
oil,fade,10,163
acrylic,scratch,41,567
watercolor,blur,47,533
acrylic,crack,15,184
watercolor,crack,41,675
watercolor,blur,17,238
acrylic,blur,30,373
watercolor,blur,31,283
acrylic,crack,47,516
watercolor,scratch,8,84
acrylic,fade,25,471
oil,crack,5,125
oil,scratch,24,415
oil,blur,27,403
oil,crack,33,459
oil,scratch,15,249
acrylic,fade,37,501
watercolor,crack,14,188
acrylic,blur,30,444
watercolor,crack,16,312
oil,scratch,45,556
oil,blur,9,121
watercolor,scratch,12,161
acrylic,scratch,47,711
acrylic,scratch,25,329
oil,blur,36,364
oil,blur,10,162
oil,crack,22,291
acrylic,crack,36,389
watercolor,fade,32,493
acrylic,blur,35,405
watercolor,crack,33,339
oil,blur,39,674
watercolor,crack,46,593
acrylic,blur,22,339
oil,fade,15,287
acrylic,blur,39,620
oil,fade,14,288
acrylic,scratch,26,308
watercolor,scratch,45,550
watercolor,fade,39,375
oil,scratch,21,363
watercolor,scratch,26,431
oil,scratch,26,385
acrylic,fade,47,754
oil,scratch,33,310
watercolor,scratch,38,514
acrylic,fade,33,442
watercolor,scratch,9,185
acrylic,crack,28,318
oil,blur,42,712
acrylic,blur,25,422
oil,blur,46,768
oil,scratch,28,476
acrylic,fade,19,310
watercolor,scratch,11,171
oil,scratch,23,297
acrylic,fade,16,268
acrylic,scratch,46,448
acrylic,crack,39,438
watercolor,blur,44,492
watercolor,crack,31,443
watercolor,scratch,48,572
oil,fade,10,130
oil,blur,38,523
oil,fade,9,178
oil,scratch,22,263
acrylic,crack,5,175
watercolor,blur,29,365
acrylic,scratch,40,382
oil,fade,10,178
oil,blur,43,456
oil,fade,20,378
oil,scratch,41,509
acrylic,fade,25,228
watercolor,fade,23,348
acrylic,scratch,10,249
watercolor,fade,45,392
watercolor,fade,9,170
acrylic,crack,16,230
oil,scratch,8,111
acrylic,crack,33,339
oil,scratch,6,99
oil,crack,26,256
