epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.30927,0,0,25.5963,0,0,0,0,0,0,0,0,0,0,0,0,24.2969,0,0,0.00014,0.00014,0.00014
2,12.2051,0,0,25.1772,0,0,0,0,0,0,0,0,0,0,0,0,25.5469,0,0,0.00029703,0.00029703,0.00029703
3,15.8275,0,0,26.1208,0,0,0,0,0,0,0,0,0,0,0,0,27.0469,0,0,0.000450892,0.000450892,0.000450892
4,19.5433,0,0,26.3796,0,0,0,0,0,0,0,0,0,0,0,0,28.9219,0,0,0.000601586,0.000601586,0.000601586
5,23.4704,0,0,25.3594,0,0,0,0,0,0,0,0,0,0,0,0,29.8594,0,0,0.000749112,0.000749112,0.000749112
6,27.0609,0,0,25.783,0,0,0,0,0,0,0,0,0,0,0,0,29.8594,0,0,0.00089347,0.00089347,0.00089347
7,31.0119,0,0,24.9914,0,0,0,0,0,0,0,0,0,0,0,0,64.75,0,0,0.00103466,0.00103466,0.00103466
8,36.3897,0,0,20.7729,0,0,0,0,0,0,0,0,0,0,0,0,64.75,0,0,0.00117268,0.00117268,0.00117268
9,41.572,0,0,20.6059,0,0,0,0,0,0,0,0,0,0,0,0,64.75,0,0,0.00130754,0.00130754,0.00130754
10,46.6497,0,0,20.3916,0,0,0,0,0,0,0,0,0,0,0,0,4.69141,0,0,0.00143922,0.00143922,0.00143922
11,51.5328,0,0,13.9867,0,0,0,0,0,0,0,0,0,0,0,0,4.69141,0,0,0.00156774,0.00156774,0.00156774
12,56.6055,0,0,13.8496,0,0,0,0,0,0,0,0,0,0,0,0,4.69141,0,0,0.00169309,0.00169309,0.00169309
13,61.5243,0,0,13.921,0,0,0,0,0,0,0,0,0,0,0,0,4.69141,0,0,0.0017624,0.0017624,0.0017624
14,66.678,0,0,13.6328,0,0,0,0,0,0,0,0,0,0,0,0,10.9844,0,0,0.0017426,0.0017426,0.0017426
15,71.672,0,0,9.43414,0,0,0,0,0,0,0,0,0,0,0,0,10.9844,0,0,0.0017228,0.0017228,0.0017228
16,77.1511,0,0,9.31849,0,0,0,0,0,0,0,0,0,0,0,0,10.9844,0,0,0.001703,0.001703,0.001703
17,83.0406,0,0,9.43104,0,0,0,0,0,0,0,0,0,0,0,0,10.9844,0,0,0.0016832,0.0016832,0.0016832
18,88.7161,0,0,9.23468,0,0,0,0,0,0,0,0,0,0,0,0,10.5859,0,0,0.0016634,0.0016634,0.0016634
19,94.3655,0,0,6.21502,0,0,0,0,0,0,0,0,0,0,0,0,10.5859,0,0,0.0016436,0.0016436,0.0016436
20,100.225,0,0,6.14001,0,0,0,0,0,0,0,0,0,0,0,0,10.5859,0,0,0.0016238,0.0016238,0.0016238
21,106.601,0,0,6.19009,0,0,0,0,0,0,0,0,0,0,0,0,10.5859,0,0,0.001604,0.001604,0.001604
